,Unnamed: 0,nama,tahun,status
77,77.0,Putri Pangestu,2021.0,Menganggur
78,78.0,Elvin Marpaung,2021.0,Bekerja
79,79.0,T. Maman Usada,2020.0,Bekerja
80,80.0,drg. Gawati Lazuardi,2020.0,Kuliah
81,81.0,R.A. Olivia Padmasari,2019.0,Menganggur
82,82.0,Raisa Hidayanto,2019.0,Bekerja
83,83.0,drg. Tirta Jailani,2020.0,Kuliah
84,84.0,Dr. Edison Waskita,2021.0,Kuliah
85,85.0,Jessica Damanik,2021.0,Menganggur
86,86.0,Aisyah Usada,2019.0,Bekerja
87,87.0,Ian Saragih,2019.0,Bekerja
88,88.0,R.M. Hendra Mansur,2019.0,Menganggur
89,89.0,Radit Situmorang,2021.0,Bekerja
90,90.0,KH. Gilang Uyainah,2019.0,Bekerja
91,91.0,T. Cemeti Hastuti,2021.0,Kuliah
92,92.0,Prayitna Wijaya,2020.0,Kuliah
93,93.0,Nurul Kuswoyo,2019.0,Bekerja
94,94.0,Rahayu Puspita,2021.0,Kuliah
95,95.0,Restu Palastri,2019.0,Bekerja
96,96.0,Restu Prabowo,2019.0,Menganggur
97,97.0,Surya Dongoran,2019.0,Menganggur
98,98.0,Ir. Bakiono Prasetyo,2019.0,Menganggur
99,99.0,"Paiman Susanti, S.I.Kom",2020.0,Bekerja
100,100.0,"R.A. Citra Yuliarti, S.Pt",2021.0,Kuliah
101,101.0,Nadia Maryati,2021.0,Bekerja
102,102.0,Lanjar Oktaviani,2019.0,Bekerja
103,103.0,Atma Saputra,2020.0,Bekerja
104,104.0,Cahyadi Wahyudin,2019.0,Menganggur
105,105.0,Adikara Hidayanto,2019.0,Menganggur
106,106.0,Hana Saptono,2021.0,Bekerja
107,107.0,Tiara Budiman,2020.0,Kuliah
108,108.0,Galiono Irawan,2019.0,Bekerja
109,109.0,"dr. Edison Wijaya, S.Kom",2021.0,Kuliah
110,110.0,Sutan Kawaca Maryadi,2020.0,Kuliah
111,111.0,Marsito Kusumo,2020.0,Kuliah
112,112.0,"Umi Hutapea, S.I.Kom",2019.0,Kuliah
113,113.0,Slamet Hutagalung,2019.0,Kuliah
114,114.0,dr. Oni Simanjuntak,2019.0,Menganggur
115,115.0,Abyasa Damanik,2021.0,Bekerja
116,116.0,Suci Sitorus,2021.0,Kuliah
117,117.0,Salimah Nugroho,2019.0,Menganggur
118,118.0,Garang Uwais,2021.0,Bekerja
119,119.0,drg. Vera Haryanti,2020.0,Menganggur
120,120.0,"Hj. Sabrina Natsir, S.T.",2021.0,Bekerja
121,121.0,Yuni Haryanti,2020.0,Kuliah
122,122.0,Kambali Nuraini,2020.0,Menganggur
123,123.0,Tgk. Mila Hutagalung,2019.0,Kuliah
124,124.0,Cakrawala Salahudin,2019.0,Bekerja
125,125.0,"Ratih Padmasari, S.Pd",2021.0,Kuliah
126,126.0,"Elisa Budiyanto, M.Farm",2019.0,Bekerja
127,127.0,Raharja Puspasari,2020.0,Kuliah
128,128.0,Rina Nuraini,2019.0,Bekerja
129,129.0,Anita Usada,2019.0,Menganggur
130,130.0,Irfan Widodo,2019.0,Menganggur
131,131.0,"R. Putri Yolanda, S.I.Kom",2019.0,Bekerja
132,132.0,Alika Safitri,2019.0,Bekerja
133,133.0,"Leo Padmasari, S.H.",2021.0,Kuliah
134,134.0,Septi Hakim,2021.0,Kuliah
135,135.0,KH. Vino Wijayanti,2019.0,Bekerja
136,136.0,Jindra Hidayat,2019.0,Menganggur
137,137.0,Mala Pradana,2020.0,Bekerja
138,138.0,"dr. Elvin Maryadi, S.IP",2021.0,Kuliah
139,139.0,"Drs. Lidya Nashiruddin, S.IP",2021.0,Bekerja
140,140.0,Dono Suwarno,2019.0,Menganggur
141,141.0,Rafid Wijayanti,2020.0,Menganggur
142,142.0,Wani Marbun,2019.0,Kuliah
143,143.0,Karen Suryatmi,2020.0,Kuliah
144,144.0,Vivi Wibowo,2021.0,Bekerja
145,145.0,"Patricia Kusmawati, S.E.",2020.0,Menganggur
146,146.0,Elon Rajasa,2019.0,Menganggur
147,147.0,Hani Maryadi,2020.0,Menganggur
148,148.0,Ihsan Lazuardi,2021.0,Kuliah
149,149.0,"R. Najwa Rahimah, S.Gz",2019.0,Kuliah
150,150.0,Daru Purwanti,2019.0,Menganggur
151,151.0,Gawati Salahudin,2020.0,Kuliah
152,152.0,"drg. Balijan Saputra, M.Farm",2019.0,Bekerja
153,153.0,Wakiman Kurniawan,2019.0,Menganggur
154,154.0,Cut Endah Budiyanto,2020.0,Bekerja
155,155.0,"Sadina Hardiansyah, M.TI.",2021.0,Kuliah
156,156.0,Gaman Riyanti,2019.0,Bekerja
157,157.0,Hari Prayoga,2019.0,Kuliah
158,158.0,Titin Laksmiwati,2021.0,Menganggur
159,159.0,"Silvia Marpaung, M.Farm",2021.0,Bekerja
160,160.0,"Vero Megantara, S.IP",2019.0,Kuliah
161,161.0,Rahmi Halimah,2020.0,Kuliah
162,162.0,Galih Andriani,2021.0,Menganggur
163,163.0,"Ir. Ira Sirait, S.E.I",2021.0,Bekerja
164,164.0,Cinta Pudjiastuti,2021.0,Menganggur
165,165.0,"Eka Rahayu, S.Ked",2020.0,Menganggur
166,166.0,Harja Setiawan,2021.0,Bekerja
167,167.0,Eva Sinaga,2019.0,Menganggur
168,168.0,Ir. Mala Nainggolan,2021.0,Kuliah
169,169.0,R.M. Alambana Palastri,2020.0,Kuliah
170,170.0,Raisa Nasyiah,2019.0,Kuliah
171,171.0,Yoga Purwanti,2019.0,Kuliah
172,172.0,"T. Jefri Setiawan, M.M.",2019.0,Bekerja
173,173.0,Edison Adriansyah,2020.0,Bekerja
174,174.0,Dasa Mardhiyah,2021.0,Bekerja
175,175.0,Iriana Mustofa,2019.0,Bekerja
176,176.0,Amelia Hasanah,2020.0,Menganggur
177,177.0,Heryanto Pertiwi,2019.0,Menganggur
178,178.0,"R.A. Janet Budiyanto, M.M.",2020.0,Menganggur
179,179.0,"Aurora Wasita, S.Sos",2020.0,Kuliah
180,180.0,Karsa Rahmawati,2021.0,Kuliah
181,181.0,Hardi Hidayat,2019.0,Menganggur
182,182.0,Hendra Wahyudin,2019.0,Bekerja
183,183.0,Naradi Jailani,2021.0,Menganggur
184,184.0,Caraka Purnawati,2020.0,Bekerja
185,185.0,Caturangga Nababan,2021.0,Menganggur
186,186.0,R.M. Lanjar Hardiansyah,2021.0,Bekerja
187,187.0,"Ihsan Mardhiyah, S.Pt",2019.0,Bekerja
188,188.0,Putri Maryadi,2019.0,Kuliah
189,189.0,Gambira Prayoga,2021.0,Menganggur
190,190.0,"Ir. Rahmi Susanti, S.Kom",2020.0,Kuliah
191,191.0,"Aris Nugroho, S.Pt",2019.0,Kuliah
192,192.0,Kasiran Ardianto,2020.0,Kuliah
193,193.0,Maimunah Nurdiyanti,2020.0,Bekerja
194,194.0,"H. Garda Hartati, S.H.",2019.0,Bekerja
195,195.0,Drs. Alambana Suryono,2019.0,Menganggur
196,196.0,Drs. Suci Maulana,2019.0,Kuliah
197,197.0,Rizki Pertiwi,2021.0,Menganggur
198,198.0,Dr. Nasim Safitri,2020.0,Kuliah
199,199.0,Indah Adriansyah,2021.0,Bekerja
200,200.0,drg. Bahuwarna Saefullah,2021.0,Bekerja
201,201.0,Lili Latupono,2021.0,Menganggur
202,202.0,"Jaiman Tampubolon, M.Pd",2021.0,Bekerja
203,203.0,dr. Carla Prayoga,2021.0,Bekerja
204,204.0,"Sakura Novitasari, S.Sos",2021.0,Kuliah
205,205.0,"R.A. Ida Zulaika, S.H.",2020.0,Bekerja
206,206.0,R.A. Jelita Wibisono,2020.0,Bekerja
207,207.0,Mutia Wibowo,2021.0,Bekerja
208,208.0,"Rosman Sitompul, S.Ked",2019.0,Menganggur
209,209.0,"Diah Permata, S.Pt",2021.0,Bekerja
210,210.0,"H. Cahya Setiawan, S.Pt",2019.0,Menganggur
211,211.0,Calista Hakim,2021.0,Kuliah
212,212.0,Aditya Yulianti,2020.0,Menganggur
213,213.0,Ihsan Sihombing,2020.0,Kuliah
214,214.0,Yunita Hassanah,2019.0,Menganggur
215,215.0,Rachel Agustina,2021.0,Kuliah
216,216.0,Kunthara Yuniar,2019.0,Bekerja
217,217.0,Drs. Oni Prasasta,2020.0,Menganggur
218,218.0,Najwa Nugroho,2021.0,Menganggur
219,219.0,"Prasetya Hutasoit, M.Farm",2020.0,Bekerja
220,220.0,Jono Rahmawati,2020.0,Menganggur
221,221.0,Chelsea Siregar,2021.0,Bekerja
222,222.0,"Maida Astuti, M.Farm",2021.0,Bekerja
223,223.0,Rahmi Mustofa,2019.0,Bekerja
224,224.0,"Langgeng Maheswara, S.E.I",2019.0,Kuliah
225,225.0,Baktianto Jailani,2020.0,Menganggur
226,226.0,Tomi Hutagalung,2020.0,Menganggur
227,227.0,"H. Galih Napitupulu, M.Farm",2021.0,Bekerja
228,228.0,"Adinata Suwarno, S.Pt",2019.0,Menganggur
229,229.0,drg. Rika Suryono,2020.0,Menganggur
230,230.0,R.A. Humaira Dabukke,2019.0,Bekerja
231,231.0,Pia Purnawati,2020.0,Kuliah
232,232.0,Saiful Astuti,2020.0,Kuliah
233,233.0,"drg. Hesti Kurniawan, M.TI.",2021.0,Bekerja
234,234.0,Siska Thamrin,2019.0,Kuliah
235,235.0,Tania Dongoran,2021.0,Menganggur
236,236.0,"Zalindra Usamah, M.M.",2019.0,Menganggur
237,237.0,Rahmi Andriani,2020.0,Bekerja
238,238.0,Kamila Hardiansyah,2019.0,Kuliah
239,239.0,Usyi Puspita,2019.0,Bekerja
240,240.0,Kusuma Nainggolan,2019.0,Bekerja
241,241.0,"Paramita Firmansyah, S.Sos",2020.0,Kuliah
242,242.0,Tirta Pranowo,2020.0,Menganggur
243,243.0,Ade Saputra,2020.0,Menganggur
244,244.0,Rosman Kuswoyo,2021.0,Bekerja
245,245.0,Rama Hasanah,2020.0,Menganggur
246,246.0,"T. Uda Fujiati, M.Kom.",2019.0,Menganggur
247,247.0,H. Mustofa Pradipta,2021.0,Bekerja
248,248.0,Halima Safitri,2020.0,Kuliah
249,249.0,"Ir. Cahyanto Hutasoit, S.Gz",2020.0,Bekerja
250,250.0,Bakianto Halimah,2021.0,Bekerja
251,251.0,Tomi Farida,2019.0,Bekerja
252,252.0,"Jarwa Maulana, M.M.",2021.0,Menganggur
253,253.0,"Eman Pradana, M.Farm",2020.0,Menganggur
254,254.0,dr. Mursita Wibowo,2019.0,Kuliah
255,255.0,Banawa Manullang,2020.0,Bekerja
256,256.0,"dr. Lalita Novitasari, S.H.",2019.0,Bekerja
257,257.0,Ir. Ghaliyati Rahmawati,2019.0,Kuliah
258,258.0,"Laila Maryadi, S.IP",2019.0,Bekerja
259,259.0,Diah Marbun,2020.0,Kuliah
260,260.0,Drs. Ulva Sihotang,2021.0,Kuliah
261,261.0,Salsabila Rajasa,2020.0,Bekerja
262,262.0,Nurul Handayani,2020.0,Kuliah
263,263.0,Paramita Tamba,2019.0,Menganggur
264,264.0,Gabriella Aryani,2019.0,Kuliah
265,265.0,"Puti Hasna Zulaika, M.TI.",2021.0,Kuliah
266,266.0,Hj. Laras Rajata,2021.0,Kuliah
267,267.0,"R.A. Michelle Nurdiyanti, M.Pd",2021.0,Menganggur
268,268.0,Jamil Tampubolon,2020.0,Kuliah
269,269.0,Viman Puspita,2021.0,Bekerja
270,270.0,Hasim Maheswara,2020.0,Menganggur
271,271.0,drg. Ida Yolanda,2019.0,Bekerja
272,272.0,Icha Hutasoit,2020.0,Menganggur
273,273.0,"KH. Gamblang Kuswoyo, M.Ak",2019.0,Menganggur
274,274.0,Atma Saragih,2020.0,Menganggur
275,275.0,"Cut Ulva Sihotang, S.E.I",2020.0,Kuliah
276,276.0,Vicky Hastuti,2019.0,Bekerja
277,277.0,Gangsa Prasasta,2019.0,Bekerja
278,278.0,Paulin Oktaviani,2021.0,Menganggur
279,279.0,Raina Rahmawati,2020.0,Kuliah
280,280.0,dr. Viktor Mulyani,2019.0,Bekerja
281,281.0,Citra Budiyanto,2021.0,Bekerja
282,282.0,drg. Wahyu Maheswara,2020.0,Kuliah
283,283.0,Cinta Padmasari,2019.0,Menganggur
284,284.0,Mala Megantara,2019.0,Bekerja
285,285.0,"drg. Restu Prasetyo, S.Gz",2021.0,Menganggur
286,286.0,"Latif Hassanah, M.Kom.",2021.0,Menganggur
287,287.0,"R.A. Hamima Sihotang, M.Farm",2019.0,Bekerja
288,288.0,Kadir Pangestu,2019.0,Bekerja
289,289.0,Mila Suryatmi,2019.0,Bekerja
290,290.0,"Gilda Putra, S.Gz",2020.0,Kuliah
291,291.0,Ratna Pratama,2020.0,Kuliah
292,292.0,"Taufik Jailani, S.I.Kom",2021.0,Kuliah
293,293.0,Dr. Gawati Tampubolon,2021.0,Kuliah
294,294.0,"Janet Prasasta, S.Sos",2020.0,Kuliah
295,295.0,Warji Nasyiah,2021.0,Kuliah
296,296.0,Septi Rajata,2021.0,Bekerja
297,297.0,Nadia Hasanah,2020.0,Kuliah
298,298.0,Oliva Megantara,2019.0,Kuliah
299,299.0,Farah Hassanah,2020.0,Bekerja
300,300.0,Maras Nashiruddin,2019.0,Bekerja
301,301.0,Umi Wahyudin,2019.0,Bekerja
302,302.0,Sidiq Marpaung,2021.0,Bekerja
303,303.0,Nabila Nashiruddin,2021.0,Kuliah
304,304.0,Tgk. Ella Hidayanto,2019.0,Menganggur
305,305.0,Mahesa Safitri,2019.0,Bekerja
306,306.0,"Rahman Pangestu, M.M.",2019.0,Kuliah
307,307.0,Cengkal Pradipta,2021.0,Bekerja
308,308.0,Rafid Prasasta,2021.0,Menganggur
309,309.0,Darman Prastuti,2019.0,Kuliah
310,310.0,Dimaz Pangestu,2019.0,Bekerja
311,311.0,Ajiono Prasasta,2019.0,Bekerja
312,312.0,Gamani Uyainah,2020.0,Kuliah
313,313.0,"Victoria Sinaga, S.Sos",2020.0,Menganggur
314,314.0,"Ir. Lili Firmansyah, S.Ked",2021.0,Menganggur
315,315.0,"dr. Yani Laksmiwati, M.Pd",2019.0,Kuliah
316,316.0,"H. Galiono Maryadi, S.E.",2019.0,Kuliah
317,317.0,"Gamani Wahyudin, S.T.",2021.0,Menganggur
318,318.0,"Latif Nugroho, S.E.I",2020.0,Menganggur
319,319.0,Kania Waluyo,2020.0,Kuliah
320,320.0,Cinta Zulaika,2021.0,Bekerja
321,321.0,T. Jefri Jailani,2019.0,Bekerja
322,322.0,Puti Siti Astuti,2021.0,Menganggur
323,323.0,Sakura Kusmawati,2021.0,Kuliah
324,324.0,R. Garan Oktaviani,2020.0,Menganggur
325,325.0,"R.A. Hilda Novitasari, S.E.",2019.0,Kuliah
326,326.0,Indra Jailani,2019.0,Menganggur
327,327.0,Gara Hutasoit,2020.0,Menganggur
328,328.0,Citra Novitasari,2020.0,Bekerja
329,329.0,"R.A. Vivi Iswahyudi, S.Gz",2020.0,Kuliah
330,330.0,Lidya Wibowo,2020.0,Kuliah
331,331.0,Asmianto Waskita,2020.0,Kuliah
332,332.0,Ganda Maulana,2019.0,Kuliah
333,333.0,Vanya Natsir,2020.0,Menganggur
334,334.0,"Cahyo Nasyiah, S.E.",2021.0,Bekerja
335,335.0,drg. Natalia Waskita,2019.0,Bekerja
336,336.0,Dt. Asman Wacana,2019.0,Kuliah
337,337.0,Wawan Pradana,2020.0,Kuliah
338,338.0,Drs. Galar Permata,2019.0,Kuliah
339,339.0,Nyana Laksita,2019.0,Bekerja
340,340.0,Rahman Astuti,2021.0,Kuliah
341,341.0,"Tirtayasa Suwarno, M.M.",2021.0,Bekerja
342,342.0,drg. Azalea Lestari,2020.0,Kuliah
343,343.0,"Drs. Harjo Agustina, S.Ked",2019.0,Menganggur
344,344.0,R. Jamil Tarihoran,2020.0,Bekerja
345,345.0,Taswir Prasetya,2020.0,Bekerja
346,346.0,Calista Prastuti,2020.0,Kuliah
347,347.0,Ami Astuti,2019.0,Menganggur
348,348.0,R.A. Yulia Pangestu,2021.0,Kuliah
349,349.0,"Tgk. Calista Pratama, S.Gz",2020.0,Kuliah
350,350.0,Iriana Mansur,2021.0,Kuliah
351,351.0,Labuh Safitri,2020.0,Menganggur
352,352.0,"R. Erik Widodo, S.E.I",2020.0,Kuliah
353,353.0,"Wadi Ardianto, M.Pd",2020.0,Bekerja
354,354.0,Ajiman Winarsih,2021.0,Menganggur
355,355.0,Dartono Wacana,2020.0,Menganggur
356,356.0,Hj. Rika Sihotang,2021.0,Kuliah
357,357.0,Gawati Prakasa,2021.0,Bekerja
358,358.0,Lanang Wijaya,2021.0,Menganggur
359,359.0,Tina Salahudin,2019.0,Bekerja
360,360.0,"Hafshah Rajata, S.IP",2020.0,Menganggur
361,361.0,"drg. Elma Santoso, M.Kom.",2021.0,Kuliah
362,362.0,Karen Mandala,2021.0,Bekerja
363,363.0,Empluk Iswahyudi,2021.0,Menganggur
364,364.0,Eko Prabowo,2021.0,Kuliah
365,365.0,Dr. Ikin Yuniar,2020.0,Menganggur
366,366.0,Utama Putra,2020.0,Bekerja
367,367.0,Chelsea Setiawan,2019.0,Bekerja
368,368.0,R.M. Lantar Usamah,2019.0,Kuliah
369,369.0,Kezia Simanjuntak,2019.0,Kuliah
370,370.0,Daliman Kusumo,2019.0,Menganggur
371,371.0,Drs. Qori Wijayanti,2020.0,Menganggur
372,372.0,Rachel Oktaviani,2021.0,Menganggur
373,373.0,"Dt. Lurhur Widiastuti, M.Ak",2021.0,Menganggur
374,374.0,Manah Saptono,2021.0,Kuliah
375,375.0,Arsipatra Mandasari,2019.0,Menganggur
376,376.0,"Aditya Widodo, S.IP",2020.0,Menganggur
377,377.0,Luis Pratiwi,2021.0,Kuliah
378,378.0,Harjaya Nasyidah,2021.0,Kuliah
379,379.0,Dr. Darijan Saragih,2019.0,Menganggur
380,380.0,"Dr. Leo Handayani, S.Pd",2021.0,Kuliah
381,381.0,Aisyah Tarihoran,2020.0,Bekerja
382,382.0,Qori Samosir,2021.0,Menganggur
383,383.0,Gasti Hasanah,2019.0,Menganggur
384,384.0,Gamani Siregar,2020.0,Menganggur
385,385.0,Dt. Digdaya Dabukke,2021.0,Kuliah
386,386.0,Ibun Salahudin,2020.0,Menganggur
387,387.0,Zamira Wijayanti,2021.0,Menganggur
388,388.0,Lukman Uyainah,2019.0,Bekerja
389,389.0,"Drs. Hasta Handayani, S.T.",2021.0,Kuliah
390,390.0,Dono Hidayat,2020.0,Menganggur
391,391.0,Citra Natsir,2019.0,Menganggur
392,392.0,Ophelia Tampubolon,2019.0,Kuliah
393,393.0,"R.M. Jinawi Hassanah, M.Ak",2019.0,Bekerja
394,394.0,Praba Maulana,2020.0,Bekerja
395,395.0,Dr. Unggul Kuswoyo,2021.0,Menganggur
396,396.0,Karman Purwanti,2021.0,Bekerja
397,397.0,Drs. Aslijan Adriansyah,2020.0,Bekerja
398,398.0,R. Kamaria Prasasta,2020.0,Menganggur
399,399.0,Alambana Pradana,2020.0,Menganggur
400,400.0,H. Vero Pangestu,2021.0,Menganggur
401,401.0,"Balangga Wahyudin, S.Psi",2021.0,Bekerja
402,402.0,Kamal Nasyiah,2021.0,Kuliah
403,403.0,Ghaliyati Yulianti,2019.0,Bekerja
404,404.0,"Galiono Simbolon, S.Farm",2019.0,Menganggur
405,405.0,Zaenab Rajasa,2019.0,Kuliah
406,406.0,"Drs. Anita Suryono, S.Psi",2019.0,Kuliah
407,407.0,Tiara Marpaung,2021.0,Kuliah
408,408.0,"R.A. Usyi Suartini, M.TI.",2019.0,Bekerja
409,409.0,"Kasiran Saragih, S.Psi",2021.0,Menganggur
410,410.0,Paris Saefullah,2020.0,Kuliah
411,411.0,Ani Wahyudin,2021.0,Bekerja
412,412.0,Salsabila Firmansyah,2021.0,Bekerja
413,413.0,Zaenab Suryatmi,2019.0,Menganggur
414,414.0,Azalea Wahyudin,2020.0,Menganggur
415,415.0,"Sutan Daliman Habibi, M.Farm",2021.0,Menganggur
416,416.0,"Drs. Kawaya Yuniar, S.Farm",2019.0,Menganggur
417,417.0,"Citra Halim, M.M.",2019.0,Kuliah
418,418.0,Victoria Pradipta,2020.0,Kuliah
419,419.0,"Puti Victoria Sitompul, S.T.",2020.0,Menganggur
420,420.0,"Lamar Laksmiwati, S.Gz",2020.0,Kuliah
421,421.0,"R. Yessi Pudjiastuti, M.TI.",2019.0,Bekerja
422,422.0,Tgk. Siska Hakim,2019.0,Menganggur
423,423.0,"R. Taufan Uyainah, S.E.",2021.0,Bekerja
424,424.0,Jayadi Susanti,2021.0,Kuliah
425,425.0,Kamal Latupono,2021.0,Menganggur
426,426.0,Puti Julia Hassanah,2019.0,Bekerja
427,427.0,"Novi Wijayanti, S.Sos",2019.0,Kuliah
428,428.0,"Siti Ramadan, S.Pd",2021.0,Bekerja
429,429.0,"R. Taufan Haryanto, M.Farm",2019.0,Bekerja
430,430.0,Cut Puji Uwais,2021.0,Menganggur
431,431.0,Puti Ina Kuswoyo,2019.0,Bekerja
432,432.0,R. Irfan Padmasari,2021.0,Kuliah
433,433.0,"Violet Halimah, M.Ak",2020.0,Kuliah
434,434.0,Zelda Hutagalung,2019.0,Bekerja
435,435.0,Cawuk Manullang,2021.0,Kuliah
436,436.0,Puti Gilda Natsir,2020.0,Bekerja
437,437.0,"Yance Prakasa, S.Gz",2021.0,Bekerja
438,438.0,"H. Dasa Rajasa, M.TI.",2020.0,Kuliah
439,439.0,"Galih Pranowo, M.Pd",2019.0,Kuliah
440,440.0,"Hasta Kuswoyo, S.Ked",2021.0,Menganggur
441,441.0,"Akarsana Anggriawan, S.Psi",2021.0,Bekerja
442,442.0,Pandu Permata,2021.0,Menganggur
443,443.0,Cakrabirawa Namaga,2019.0,Menganggur
444,444.0,Taufan Hutagalung,2019.0,Menganggur
445,445.0,Emong Najmudin,2021.0,Bekerja
446,446.0,Cut Vanesa Damanik,2021.0,Menganggur
447,447.0,"Almira Hutagalung, S.Farm",2021.0,Menganggur
448,448.0,Dodo Sihombing,2021.0,Menganggur
449,449.0,Cemeti Haryanto,2021.0,Bekerja
450,450.0,Dinda Nasyiah,2019.0,Bekerja
451,451.0,Dasa Simanjuntak,2021.0,Kuliah
452,452.0,T. Rizki Nasyidah,2021.0,Bekerja
453,453.0,Fathonah Ramadan,2021.0,Bekerja
454,454.0,Putri Wastuti,2021.0,Menganggur
455,455.0,"Tgk. Martaka Kusumo, S.Psi",2021.0,Menganggur
456,456.0,Sutan Mariadi Hasanah,2019.0,Menganggur
457,457.0,Ian Yolanda,2021.0,Kuliah
458,458.0,"Ratih Firmansyah, M.Kom.",2019.0,Menganggur
459,459.0,Irma Pradipta,2021.0,Kuliah
460,460.0,Sadina Permata,2019.0,Kuliah
461,461.0,Yani Sudiati,2021.0,Bekerja
462,462.0,Dt. Warsita Sihotang,2020.0,Kuliah
463,463.0,Iriana Permadi,2019.0,Kuliah
464,464.0,R. Atmaja Anggriawan,2019.0,Menganggur
465,465.0,Zamira Napitupulu,2020.0,Kuliah
466,466.0,Siti Nababan,2020.0,Bekerja
